path,source_SeriesInstanceUID,parse_ok,parse_error,PatientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,SOPClassUID,Modality,SeriesDescription,StudyDate,Rows,Columns,NumberOfFrames,SamplesPerPixel,PhotometricInterpretation,TransferSyntaxUID,Manufacturer,ManufacturerModelName,has_pixel_data,raw_relative_path,raw_bytes,exclusion_reason,is_valid_image_dicom
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.114218609794331391148301121858/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.114218609794331391148301121858,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.114218609794331391148301121858/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.127201590790554274361285212356/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.127201590790554274361285212356,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.127201590790554274361285212356/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.145540260846979766323096521632/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.145540260846979766323096521632,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.145540260846979766323096521632/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.156377778121234083968073390093/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.156377778121234083968073390093,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.156377778121234083968073390093/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.215326651705313776483552994289/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.215326651705313776483552994289,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.215326651705313776483552994289/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.248139523117976115667972626780/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.248139523117976115667972626780,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.248139523117976115667972626780/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.282451098878577561426112396121/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.282451098878577561426112396121,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.282451098878577561426112396121/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.627170630623346873092019565744/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.627170630623346873092019565744,True,,,,,,,,,,,,1,,,,,,False,1.3.6.1.4.1.14519.5.2.1.1188.2803.627170630623346873092019565744/LICENSE,2801,no_pixel_data|missing_or_invalid_rows|missing_or_invalid_columns|missing_sop_instance_uid|missing_series_instance_uid|missing_transfer_syntax|missing_modality,False
